entry_date,exit_date,tickers,ret,equity
2019-10-01,2019-10-08,"TUKAS,ALARK,ADESE,IHEVA,FENER",-0.012155561447973256,1.3352420013381485
2019-10-08,2019-10-15,"KLNMA,KAREL,ECILC,TMSN,ICBCT",-0.025813457732607598,1.300774788373804
2019-11-12,2019-11-19,"TUKAS,ODAS,TRCAS,DOAS,FENER",0.06629403206522548,1.3870083939038937
2019-11-19,2019-11-26,"NATEN,AKSEN,TRGYO,TUKAS,YUNSA",0.048999921469715525,1.4549716962830206
2019-11-26,2019-12-03,"KRSTL,ICBCT,YUNSA,TSPOR,AKSEN",0.06797062515235702,1.553867032058363
2019-12-03,2019-12-10,"TUKAS,TSPOR,BJKAS,SMART,YUNSA",0.05931209170591069,1.6460301359625997
2019-12-10,2019-12-17,"TUKAS,OSTIM,CEMAS,ALGYO,TSPOR",0.03928416726847095,1.7106930591526985
2019-12-17,2019-12-24,"TUKAS,TIRE,GSRAY,TSPOR,ODAS",0.011148752288510106,1.7297651523108655
2019-12-24,2019-12-31,"VESTL,TMSN,ZOREN,SASA,IHLGM",-0.032257429669040716,1.6739673745662402
2019-12-31,2020-01-08,"ITTFH,KLGYO,IHLGM,TIRE,ISGYO",-0.015046516207254659,1.648779997334414
2020-01-07,2020-01-14,"TUKAS,TKNSA,BJKAS,TIRE,ISGYO",0.17771038445816165,1.9417853245476393
2020-01-14,2020-01-21,"TKNSA,TRCAS,IEYHO,SKBNK,ALBRK",0.039742189801724205,2.0189561254700146
2020-01-21,2020-01-28,"ISFIN,PAPIL,SMART,ALBRK,TRCAS",0.015006456963009408,2.0492535036770847
2020-01-28,2020-02-04,"PAPIL,TUKAS,DOAS,TKNSA,TIRE",-0.06073649126521899,1.924789036150782
2020-02-04,2020-02-11,"TKNSA,IPEKE,GSRAY,DGKLB,TUKAS",-0.019431563036331777,1.887387376663178
2020-02-11,2020-02-18,"TRCAS,ICBCT,PGSUS,TKNSA,ISFIN",-0.02821552152646783,1.8341337575081544
2020-02-18,2020-02-25,"TUKAS,IHLGM,TSPOR,VKGYO,ADESE",-0.03947633543728089,1.761728878059922
2020-04-07,2020-04-14,"GUBRF,KARSN,ECILC,NETAS,ICBCT",0.040188506442152855,1.8325301304251598
2020-04-14,2020-04-21,"ODAS,KARSN,TOASO,USAK,OZGYO",0.04145719908902963,1.9085016968788409
2020-04-21,2020-04-29,"GSRAY,TOASO,ISGYO,THYAO,GUBRF",0.05935257058947992,2.0217761785629844
2020-04-28,2020-05-06,"ARDYZ,IPEKE,GUSGR,MGROS,KOZAA",0.06512004987346588,2.1534343441439914
2020-05-05,2020-05-12,"RYGYO,IPEKE,KRSTL,HEKTS,GUSGR",-0.014781869413525186,2.1216025588782546
2020-05-12,2020-05-20,"PETUN,RYSAS,ARDYZ,MGROS,TOASO",0.04352004743443852,2.2139348028776626
2020-05-20,2020-05-29,"ISFIN,GSDHO,MGROS,SASA,KRSTL",-0.013618884202813975,2.183783481164692
2020-05-28,2020-06-15,"DGKLB,HEKTS,GSDHO,AVOD,IPEKE",-0.008866881179237254,2.1644201325160237
2020-06-11,2020-06-18,"MNDRS,GUBRF,IHLGM,GSRAY,GUSGR",-0.009141227028491204,2.1446346766996576
2020-06-18,2020-06-25,"GUSGR,KARSN,TSPOR,IHLAS,ODAS",0.0556479210875036,2.2639791379501637
2020-06-25,2020-07-02,"GUBRF,ODAS,CEMAS,KRDMD,GUSGR",0.07677887338907237,2.4378049055383406
2020-07-02,2020-07-09,"KARSN,ZOREN,VKGYO,GSDHO,CEMAS",0.004405375733709929,2.448544352112718
2020-07-09,2020-07-17,"ZOREN,TEKTU,GSDHO,MPARK,EKGYO",0.03830808880089108,2.5423434065863724
2020-07-17,2020-07-24,"TRGYO,KERVT,ZOREN,EKGYO,ADESE",-0.006132574248975496,2.526752296879088
2020-07-24,2020-08-04,"GOZDE,MPARK,TRGYO,GLYHO,SASA",-0.10781738464609436,2.254324472581073
2020-08-04,2020-08-11,"GUSGR,TEKTU,KRSTL,VKGYO,TRKCM",-0.008719149692026446,2.2346686800502398
2020-09-04,2020-09-10,"FENER,GSRAY,ICBCT,VESTL,BJKAS",0.0851648749403693,2.4249839587198787
2020-09-11,2020-09-18,"IHLAS,GSRAY,MPARK,CEMTS,SASA",0.016757946551526966,2.465621710288417
2020-09-18,2020-09-25,"FENER,TSPOR,BJKAS,CEMTS,HLGYO",0.03010946459918666,2.5398602598893323
2020-09-25,2020-10-02,"IHLAS,AVOD,FENER,CEMTS,SASA",0.07051968803338453,2.7189704130651187
2020-10-02,2020-10-09,"AVOD,AKSEN,CEMTS,VKGYO,GLYHO",0.04619846725049825,2.844582678648181
2020-10-09,2020-10-16,"KLGYO,ITTFH,PENGD,KATMR,KERVT",0.15461040450090158,3.2843847572302347
2020-10-16,2020-10-23,"KATMR,ITTFH,AKENR,AKSEN,GLYHO",-0.1380489487891111,2.830978894075621
2020-10-23,2020-11-02,"IHLGM,USAK,BSOKE,TSKB,GLYHO",0.004618822471621473,2.8440546830082636
2020-11-02,2020-11-09,"TSKB,VKGYO,TRGYO,GSRAY,BJKAS",0.04810328231283577,2.980863048338153
2020-11-09,2020-11-16,"GLYHO,TSKB,EGEEN,ODAS,AKSEN",0.0050579177299432156,2.995940008400875
2020-11-30,2020-12-07,"DOCO,KRDMD,GUBRF,TAVHL,HLGYO",0.03992564277872271,3.115554838962772
2020-12-07,2020-12-14,"EGEEN,DOCO,TAVHL,HLGYO,SELEC",-0.012048478120907043,3.078017144651043
2020-12-14,2020-12-21,"EREGL,IHLAS,SASA,AVOD,DOHOL",-0.053541256769103096,2.91321623836958
2020-12-21,2020-12-28,"EREGL,ISGYO,HLGYO,OTKAR,NTHOL",-0.017210610728684163,2.8630780077225197
2020-12-28,2021-01-05,"ALARK,OTKAR,TUKAS,BJKAS,ALBRK",0.033315245836064725,2.9584621553976262
2021-01-05,2021-01-12,"OTKAR,KOZAL,HEKTS,ALARK,GOZDE",0.09621981562211082,3.2431248385149782
2021-01-12,2021-01-19,"HEKTS,RTALB,ECZYT,GOZDE,KARSN",0.017872963819332694,3.3010890914153355
2021-01-19,2021-01-26,"FENER,ALARK,ECZYT,HEKTS,SASA",-0.0036495358151279814,3.289041648547287
2021-01-26,2021-02-02,"KARSN,AKSEN,TMSN,TKNSA,KRVGD",0.061122955537906545,3.4900775949937657
2021-02-02,2021-02-09,"BSOKE,HLGYO,ALKIM,AKSEN,GLYHO",0.002178139894052776,3.4976794722367615
2021-02-09,2021-02-16,"KATMR,AKSEN,VESTL,KARTN,SASA",0.07298627458511629,3.7529620666081582
2021-02-16,2021-02-23,"ECZYT,SASA,KLGYO,JANTS,AKSEN",-0.06505110704540729,3.508827729475878
2021-02-23,2021-03-02,"FROTO,ECZYT,KLGYO,ALBRK,TKNSA",-0.011636739455757706,3.4679964153928293
2021-03-02,2021-03-09,"IHLAS,IHLAS,NTHOL,ECZYT,FROTO",-0.031002175900096025,3.3604809805019182
2021-03-09,2021-03-16,"INDES,CEMAS,MAKTK,YYAPI,ALGYO",-0.018036686908551248,3.299869037194464
2021-03-16,2021-03-23,"CEMAS,KATMR,BJKAS,GOZDE,TMSN",-0.08591299146551601,3.0163674167646555
2021-05-25,2021-06-01,"TKNSA,HDFGS,KONTR,CLEBI,JANTS",-0.005950750123116515,2.9984177679879784
2021-08-03,2021-08-10,"BMSCH,TSPOR,BASGZ,VAKFN,PEKGY",-0.019944128726738918,2.938616938046685
2021-08-10,2021-08-17,"METUR,TRILC,FADE,TOASO,BMSCH",-0.0030763016258369175,2.92957686598246
2021-08-17,2021-08-24,"FADE,METUR,TRILC,QUAGR,BASGZ",0.061709779136874726,3.1103604073467355
2021-08-24,2021-09-01,"QUAGR,BASGZ,KTSKR,BRYAT,FADE",0.03327187911648069,3.213847942828664
2021-09-01,2021-09-08,"QUAGR,KTSKR,FADE,CANTE,BASGZ",-0.005917030227951159,3.194831507402908
2021-09-08,2021-09-15,"KTSKR,ODAS,ESEN,BERA,EDATA",-0.0305906799967319,3.097099439116469
2021-09-15,2021-09-22,"KTSKR,DOAS,TOASO,BIOEN,RTALB",-0.021131472831442937,3.0316531664625024
2021-10-20,2021-10-27,"BASGZ,ORCAY,GWIND,KTSKR,GSDHO",0.01763794506430425,3.085125298466592
2021-10-27,2021-11-04,"KTSKR,TSPOR,BIOEN,KARYE,GUBRF",-0.06311648502843901,2.890403033755067
2021-11-03,2021-11-10,"GSDHO,KTSKR,JANTS,KZBGY,KONTR",0.034215495342524944,2.989299605294533
2021-11-10,2021-11-17,"TSPOR,KZBGY,PRKAB,ERBOS,GSRAY",0.039760173787176604,3.1081546771029824
2021-11-17,2021-11-24,"VESBE,BASGZ,ERBOS,ISGYO,GOZDE",0.03286572928795913,3.210306447305753
2021-11-24,2021-12-01,"BASGZ,BIOEN,EGEPO,PRKAB,DOAS",0.031636514588632245,3.311869354059921
2021-12-01,2021-12-08,"BASGZ,ADESE,TOASO,GSDHO,SASA",0.054870483017326714,3.493593225207471
2021-12-08,2021-12-15,"BASGZ,ADESE,BIOEN,SASA,ORCAY",0.08149665832300688,3.7783093986017757
2021-12-15,2021-12-22,"SISE,ADESE,ORCAY,SASA,EGEEN",-0.13698429272702528,3.2607403579304393
2021-12-22,2021-12-29,"KOZAA,IPEKE,GOZDE,TKNSA,BIOEN",0.04975633232600548,3.4229828388084442
2026-01-05,2026-01-12,"HEKTS,SASA,KONTR,FROTO,EREGL",-0.00885522759310431,3.392671546723505
2026-01-12,2026-01-19,"SASA,HEKTS,KONTR,FROTO,DOAS",0.040795365891513655,3.531076823821818
2026-01-19,2026-01-26,"SASA,FROTO,TUPRS,KONTR,ARCLK",0.013805133556134112,3.5798238109716483
2026-01-26,2026-02-02,"HEKTS,ISCTR,OYAKC,GUBRF,ALARK",0.018992993819326388,3.64781538248771
